N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
169,KODEX 삼성그룹,"10,495",40,+0.38%,0,"17,233","164,200",0.06,"134,368",N/A,N/A,
170,후성,"17,950","3,450",+23.79%,500,"16,623","92,607",6.73,"34,699,123",166.20,2.79,
171,한일시멘트,"238,000","11,500",+5.08%,"5,000","16,484","6,926",2.69,"47,196",13.69,N/A,
172,한미반도체,"33,300",750,-2.20%,200,"16,470","49,460",7.25,"552,586",22.20,21.03,
173,명신산업,"31,250","1,300",+4.34%,500,"16,397","52,470",2.15,"1,388,760",-13.55,-67.39,
174,KODEX 레버리지,"26,860",160,+0.60%,0,"16,331","60,800",2.30,"12,524,996",N/A,N/A,
175,JB금융지주,"8,250",60,+0.73%,"5,000","16,251","196,983",40.94,"304,368",3.58,10.06,
176,녹십자홀딩스,"34,500",150,+0.44%,500,"16,225","47,028",5.30,"133,114",10.64,19.74,
177,한국앤컴퍼니,"17,000",0,0.00%,500,"16,139","94,935",9.68,"134,257",6.51,5.08,
178,부광약품,"22,500",100,+0.45%,500,"15,989","71,063",4.67,"1,316,406",-142.41,-2.46,
179,두산,"95,300","1,700",+1.82%,"5,000","15,747","16,524",11.91,"65,103",-155.97,-34.34,
180,아이에스동서,"50,900",200,+0.39%,500,"15,724","30,893",4.49,"46,745",14.51,10.92,
181,DGB금융지주,"9,200",0,0.00%,"5,000","15,561","169,146",49.38,"133,056",3.65,6.93,
182,동원시스템즈,"60,100","4,000",+7.13%,"5,000","15,397","25,619",1.39,"172,465",28.56,10.97,
183,F&F홀딩스,"39,300","2,050",-4.96%,500,"15,372","39,114",1.09,"380,426",0.29,16.59,
184,대한유화,"235,000","3,000",+1.29%,"5,000","15,275","6,500",13.44,"42,538",6.57,6.93,
185,TIGER 단기통안채,"100,290",0,0.00%,0,"15,194","15,150",0.78,"1,841",N/A,N/A,
186,DL,"72,400",300,+0.42%,"5,000","15,172","20,956",14.96,"44,567",2.34,11.84,
187,KG동부제철,"15,050",250,-1.63%,"5,000","15,051","100,009",1.66,"238,955",12.31,7.18,
188,코스맥스,"132,000","3,000",+2.33%,500,"14,981","11,350",24.55,"83,119",30.58,6.23,
189,종근당,"131,000","1,500",-1.13%,"2,500","14,968","11,426",8.23,"45,848",17.59,17.88,
190,KODEX 단기채권PLUS,"103,200",5,0.00%,0,"14,626","14,172",0.00,"1,034,337",N/A,N/A,
191,솔루엠,"29,200",50,+0.17%,500,"14,602","50,006",8.11,"349,051",36.55,43.26,
192,신세계인터내셔날,"204,000","2,500",+1.24%,"5,000","14,566","7,140",5.19,"29,475",20.09,8.24,
193,LG생활건강우,"689,000","3,000",+0.44%,"5,000","14,467","2,100",84.70,"1,560",14.47,N/A,
194,KODEX 종합채권(AA-이상)액티브,"109,695",130,-0.12%,0,"14,071","12,827",0.00,"8,166",N/A,N/A,
195,SK네트웍스,"5,630",130,+2.36%,"2,500","13,973","248,188",12.86,"712,914",38.30,1.63,
196,NHN,"70,800",200,+0.28%,500,"13,852","19,565",12.34,"25,232",63.21,1.35,
197,영풍,"749,000","1,000",-0.13%,"5,000","13,797","1,842",4.49,"1,882",8.99,4.03,
198,롯데칠성,"148,500",500,+0.34%,500,"13,779","9,279",8.61,"32,320",60.49,-1.00,
199,롯데리츠,"5,660",10,+0.18%,500,"13,752","242,969",10.27,"291,325",71.65,1.68,
200,롯데관광개발,"19,550",100,+0.51%,500,"13,543","69,276",6.89,"335,681",-8.66,-30.43,
